ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,{built-in method _abc._abc_register}
133,0.000,0.000,0.000,0.000,{built-in method _abc._abc_instancecheck}
7/2,0.000,0.000,0.000,0.000,{built-in method _abc._abc_subclasscheck}
29,0.000,0.000,0.000,0.000,{built-in method sys._getframe}
14,0.000,0.000,0.000,0.000,{built-in method sys.intern}
43,0.005,0.000,0.005,0.000,{built-in method marshal.loads}
397,0.000,0.000,0.000,0.000,{built-in method _imp.acquire_lock}
397,0.000,0.000,0.000,0.000,{built-in method _imp.release_lock}
2,0.000,0.000,0.000,0.000,{built-in method _imp.create_builtin}
14,0.000,0.000,0.000,0.000,{built-in method _imp.is_builtin}
53,0.000,0.000,0.000,0.000,{built-in method _imp.is_frozen}
1,0.000,0.000,0.000,0.000,{built-in method _imp.create_dynamic}
1,0.000,0.000,0.000,0.000,{built-in method _imp.exec_dynamic}
2,0.000,0.000,0.000,0.000,{built-in method _imp.exec_builtin}
43,0.000,0.000,0.000,0.000,{built-in method _imp._fix_co_filename}
214,0.000,0.000,0.000,0.000,{built-in method _warnings._filters_mutated}
1094,0.000,0.000,0.000,0.000,{built-in method __new__ of type object at 0x908780}
1,0.000,0.000,0.000,0.000,<string>:1(<module>)
1,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/markers.py:44(Node)
1,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/markers.py:59(Variable)
1,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/markers.py:65(Value)
1,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/markers.py:71(Op)
1,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/markers.py:272(Marker)
1,0.000,0.000,0.001,0.001,/usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/markers.py:4(<module>)
1,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/py2_warn.py:1(<module>)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.8/sysconfig.py:105(_safe_realpath)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.8/sysconfig.py:126(_is_python_source_dir)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.8/sysconfig.py:143(is_python_build)
2,0.000,0.000,0.000,0.000,/usr/lib/python3.8/sysconfig.py:186(_get_default_scheme)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.8/sysconfig.py:623(get_platform)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.8/sysconfig.py:1(<module>)
1,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/markers.py:25(InvalidMarker)
1,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/markers.py:31(UndefinedComparison)
1,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/packaging/markers.py:37(UndefinedEnvironmentName)
41,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:3439(<genexpr>)
13/12,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:3434(__str__)
1,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:3368(And)
2,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:3461(<genexpr>)
1,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:3458(__init__)
1,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:3444(Or)
139,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:3543(<genexpr>)
48,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:3540(__init__)
20/8,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:3547(parseImpl)
41,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:3581(<genexpr>)
14,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:3576(__str__)
1,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:3523(MatchFirst)
1,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:3591(Each)
82,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:3719(__init__)
16/2,0.000,0.000,0.000,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:3737(parseImpl)
36/11,0.000,0.000,0.003,0.000,/usr/lib/python3/dist-packages/pkg_resources/_vendor/pyparsing.py:3743(leaveWhitespace)
